Predicted,Actual
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Meltdown,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
Meltdown,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Good,Normal
Normal,Normal
Normal,Normal
Good,Good
Good,Good
Good,Good
Meltdown,Normal
Meltdown,Normal
Good,Normal
Good,Good
Good,Good
Normal,Normal
Normal,Normal
Normal,Normal
Meltdown,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Good,Good
Good,Normal
Normal,Normal
Normal,Meltdown
Meltdown,Normal
Normal,Normal
Meltdown,Normal
Meltdown,Normal
Normal,Normal
Normal,Normal
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Normal,Good
Normal,Good
Good,Good
Normal,Meltdown
Normal,Meltdown
Meltdown,Good
Good,Normal
Normal,Good
Normal,Good
Good,Good
Good,Good
Meltdown,Meltdown
Meltdown,Good
Normal,Good
Normal,Good
Normal,Good
Normal,Good
Good,Good
Good,Good
Meltdown,Normal
Good,Good
Good,Good
Normal,Normal
Normal,Normal
Good,Good
Good,Normal
Normal,Normal
Good,Normal
Meltdown,Meltdown
Meltdown,Normal
Meltdown,Normal
Meltdown,Normal
Normal,Good
Normal,Good
Good,Good
Good,Good
Good,Normal
Normal,Normal
Good,Normal
Meltdown,Meltdown
Meltdown,Normal
Meltdown,Meltdown
Good,Normal
Good,Good
Meltdown,Normal
Meltdown,Normal
Meltdown,Normal
Normal,Normal
Good,Normal
Meltdown,Good
Good,Good
Good,Good
Normal,Normal
Meltdown,Good
Good,Good
Good,Good
Good,Good
Normal,Good
Meltdown,Normal
Meltdown,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Normal,Normal
Normal,Good
Good,Good
Good,Good
Normal,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Normal
Good,Normal
Good,Normal
Good,Normal
Normal,Normal
Good,Good
Good,Normal
Normal,Normal
Meltdown,Normal
Normal,Normal
Good,Good
Good,Good
Good,Good
Good,Normal
Good,Good
Good,Good
Normal,Good
Normal,Good
Normal,Normal
Good,Normal
Meltdown,Normal
Normal,Normal
Good,Normal
Good,Normal
Normal,Normal
Meltdown,Normal
Normal,Good
Good,Good
Good,Good
Normal,Good
Good,Normal
Normal,Normal
Normal,Good
Good,Good
Normal,Good
Good,Normal
Good,Normal
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
Good,Good
Good,Good
Normal,Good
Normal,Normal
Good,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Meltdown,Normal
Meltdown,Good
Good,Good
Good,Normal
Normal,Normal
Normal,Good
Good,Good
Meltdown,Normal
Meltdown,Normal
Good,Good
Good,Good
Meltdown,Meltdown
Meltdown,Meltdown
Meltdown,Normal
Meltdown,Normal
Meltdown,Meltdown
Meltdown,Normal
Meltdown,Normal
Good,Good
Good,Normal
Good,Normal
Normal,Normal
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Good
Good,Good
