Predicted,Actual
Good,Good
Normal,Normal
Bad,Normal
Meltdown,Normal
Good,Good
Good,Good
Meltdown,Normal
Meltdown,Normal
Good,Good
Good,Good
Good,Good
Meltdown,Meltdown
Good,Good
Normal,Bad
Normal,Normal
Good,Good
Meltdown,Bad
Normal,Normal
Good,Bad
Good,Normal
Good,Good
Normal,Normal
Meltdown,Normal
Meltdown,Normal
Good,Good
Good,Good
Good,Good
Normal,Normal
Normal,Normal
Good,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Bad,Normal
Good,Good
Good,Good
Normal,Bad
Good,Normal
Normal,Normal
Good,Good
Good,Good
Good,Normal
Meltdown,Bad
Meltdown,Meltdown
Good,Good
Bad,Good
Bad,Bad
Normal,Normal
Good,Normal
Normal,Bad
Bad,Meltdown
Meltdown,Bad
Good,Good
Good,Good
Good,Good
Good,Bad
Normal,Bad
Bad,Bad
Normal,Bad
Meltdown,Bad
Good,Normal
Bad,Bad
Bad,Meltdown
Bad,Meltdown
Bad,Bad
Bad,Bad
Normal,Bad
Bad,Normal
Good,Good
Good,Good
Good,Good
Good,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Normal,Normal
Good,Normal
Bad,Normal
Normal,Normal
Good,Good
Good,Good
Normal,Normal
Good,Good
Meltdown,Normal
Normal,Normal
Normal,Normal
Good,Normal
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Normal
Meltdown,Bad
Meltdown,Meltdown
Bad,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Meltdown,Normal
Good,Good
Good,Good
Normal,Good
Good,Good
Normal,Normal
Normal,Good
Meltdown,Normal
Bad,Meltdown
Bad,Bad
Bad,Normal
Normal,Normal
Good,Good
Normal,Normal
Bad,Normal
Normal,Normal
Good,Good
Normal,Normal
Meltdown,Bad
Normal,Normal
Normal,Normal
Meltdown,Bad
Good,Bad
Good,Good
Good,Bad
Good,Normal
Good,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Normal,Normal
Meltdown,Meltdown
Bad,Normal
Good,Good
Normal,Normal
Good,Good
Good,Normal
Good,Good
Normal,Normal
Normal,Normal
Good,Good
Good,Good
Good,Normal
Good,Good
Good,Normal
Good,Good
Normal,Bad
Good,Good
Normal,Normal
Good,Normal
Good,Normal
Bad,Bad
Meltdown,Bad
Bad,Bad
Good,Normal
Good,Normal
Bad,Normal
Normal,Good
Good,Good
Good,Good
Good,Bad
Good,Good
Normal,Bad
Normal,Normal
Good,Good
Normal,Good
Normal,Good
Normal,Normal
Normal,Bad
Bad,Meltdown
Good,Good
Good,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Good,Good
Good,Good
Good,Normal
Normal,Good
Normal,Normal
Normal,Normal
Meltdown,Good
Good,Good
Normal,Normal
Good,Normal
Good,Normal
Normal,Good
Normal,Good
Good,Good
Good,Normal
Normal,Normal
Good,Good
Good,Good
Normal,Normal
Normal,Normal
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
Good,Good
Normal,Good
Good,Good
Normal,Normal
Good,Good
Good,Good
Meltdown,Meltdown
Bad,Bad
Normal,Bad
Normal,Good
Good,Good
Normal,Normal
Bad,Normal
Good,Good
Good,Good
Good,Normal
Good,Good
Good,Good
Bad,Good
Normal,Normal
Normal,Normal
Meltdown,Normal
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
Normal,Good
Normal,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Normal
