,Actual,Predicted
1,Bad,Good
2,Bad,Good
3,Good,Great
4,Normal,Meltdown
5,Great,Normal
6,Good,Normal
7,Great,Great
8,Great,Great
9,Great,Great
10,Good,Normal
11,Bad,Great
12,Normal,Good
13,Good,Normal
14,Great,Normal
15,Good,Great
16,Good,Normal
17,Good,Normal
18,Good,Meltdown
19,Good,Normal
20,Normal,Normal
21,Good,Normal
22,Great,Good
23,Good,Normal
24,Great,Great
25,Great,Great
26,Great,Great
27,Great,Great
28,Good,Great
29,Good,Bad
30,Bad,Good
31,Normal,Meltdown
32,Good,Bad
33,Great,Bad
34,Great,Great
35,Good,Normal
36,Great,Meltdown
37,Good,Normal
38,Great,Normal
39,Good,Great
40,Normal,Bad
41,Great,Normal
42,Great,Normal
43,Bad,Bad
44,Bad,Bad
45,Normal,Normal
46,Normal,Bad
47,Good,Normal
48,Normal,Meltdown
49,Bad,Meltdown
50,Meltdown,Normal
51,Normal,Normal
52,Normal,Bad
53,Bad,Bad
54,Normal,Bad
55,Bad,Meltdown
56,Meltdown,Bad
57,Bad,Bad
58,Bad,Good
59,Normal,Normal
60,Normal,Bad
61,Bad,Bad
62,Bad,Normal
63,Normal,Normal
64,Normal,Bad
65,Bad,Bad
66,Normal,Bad
67,Bad,Bad
68,Good,Bad
69,Bad,Normal
70,Bad,Bad
71,Normal,Bad
72,Meltdown,Bad
73,Bad,Normal
74,Normal,Normal
75,Good,Good
76,Normal,Normal
77,Normal,Bad
78,Bad,Bad
79,Normal,Bad
80,Normal,Normal
81,Normal,Bad
82,Normal,Normal
83,Normal,Meltdown
84,Good,Normal
85,Normal,Normal
86,Normal,Normal
87,Bad,Bad
88,Bad,Meltdown
89,Good,Normal
90,Normal,Normal
91,Good,Bad
92,Bad,Meltdown
93,Good,Bad
94,Good,Bad
95,Good,Normal
96,Good,Great
97,Normal,Bad
98,Normal,Meltdown
99,Good,Normal
100,Normal,Good
101,Normal,Normal
102,Bad,Bad
103,Normal,Meltdown
104,Good,Great
105,Great,Great
106,Great,Great
107,Great,Normal
108,Great,Great
109,Great,Great
110,Great,Great
111,Great,Normal
112,Good,Normal
113,Great,Great
114,Great,Great
115,Normal,Good
116,Normal,Normal
117,Great,Normal
118,Good,Normal
119,Good,Great
120,Great,Great
121,Great,Great
122,Great,Normal
123,Good,Normal
124,Good,Great
125,Normal,Normal
126,Normal,Normal
127,Good,Great
128,Good,Normal
129,Great,Great
130,Great,Great
131,Good,Great
132,Good,Great
133,Good,Great
134,Good,Normal
135,Great,Great
136,Good,Normal
137,Normal,Great
138,Normal,Normal
139,Great,Good
140,Meltdown,Bad
141,Great,Great
142,Good,Great
143,Great,Normal
144,Great,Great
145,Good,Great
146,Great,Great
147,Good,Normal
148,Great,Great
149,Normal,Bad
150,Great,Great
151,Great,Great
152,Great,Normal
153,Good,Great
154,Good,Normal
155,Good,Meltdown
156,Bad,Meltdown
157,Good,Normal
158,Normal,Bad
159,Normal,Normal
160,Meltdown,Meltdown
161,Normal,Normal
162,Good,Good
163,Great,Great
164,Good,Meltdown
165,Good,Normal
166,Normal,Normal
167,Bad,Normal
168,Normal,Normal
169,Meltdown,Meltdown
170,Good,Bad
171,Bad,Bad
172,Bad,Bad
173,Normal,Normal
174,Bad,Normal
175,Bad,Bad
176,Good,Meltdown
177,Normal,Normal
178,Normal,Bad
179,Bad,Bad
180,Normal,Normal
181,Normal,Normal
182,Good,Meltdown
183,Great,Normal
184,Good,Great
185,Normal,Meltdown
186,Bad,Bad
187,Meltdown,Bad
188,Bad,Normal
189,Bad,Meltdown
190,Normal,Normal
191,Good,Great
192,Good,Normal
193,Great,Normal
194,Great,Normal
195,Bad,Meltdown
196,Good,Good
197,Normal,Normal
198,Good,Normal
199,Great,Normal
200,Good,Great
201,Good,Great
202,Good,Normal
203,Good,Normal
204,Great,Great
205,Great,Normal
206,Great,Good
207,Good,Normal
208,Meltdown,Normal
209,Normal,Normal
210,Normal,Bad
211,Good,Bad
212,Good,Normal
213,Good,Normal
214,Good,Great
215,Great,Great
216,Good,Normal
217,Normal,Great
218,Good,Good
219,Great,Good
220,Great,Great
221,Bad,Bad
222,Good,Bad
223,Great,Great
224,Great,Normal
225,Bad,Bad
226,Bad,Normal
227,Bad,Normal
228,Good,Good
229,Great,Normal
230,Good,Normal
231,Normal,Normal
232,Great,Normal
233,Good,Normal
234,Bad,Normal
235,Good,Normal
236,Great,Normal
237,Great,Great
238,Good,Great
239,Good,Good
240,Great,Great
241,Great,Great
242,Great,Great
243,Great,Great
244,Great,Great
245,Good,Great
246,Great,Normal
247,Great,Great
248,Great,Great
249,Great,Great
250,Great,Normal
251,Great,Great
252,Good,Good
