,Actual,Predicted
1,Bad,Very Bad
2,Very Bad,Very Bad
3,Great,Great
4,Good,Bad
5,Great,Great
6,Good,Normal
7,Normal,Normal
8,Great,Great
9,Great,Normal
10,Great,Great
11,Normal,Normal
12,Good,Normal
13,Great,Normal
14,Very Bad,Very Bad
15,Bad,Great
16,Normal,Very Bad
17,Great,Normal
18,Good,Normal
19,Good,Great
20,Bad,Normal
21,Normal,Normal
22,Bad,Bad
23,Good,Normal
24,Bad,Very Bad
25,Bad,Meltdown
26,Very Bad,Very Bad
27,Good,Bad
28,Normal,Normal
29,Normal,Normal
30,Normal,Bad
31,Normal,Very Bad
32,Normal,Normal
33,Good,Normal
34,Bad,Bad
35,Good,Very Bad
36,Normal,Meltdown
37,Normal,Very Bad
38,Great,Great
39,Great,Great
40,Normal,Normal
41,Normal,Bad
42,Bad,Normal
43,Great,Great
44,Very Bad,Very Bad
45,Normal,Bad
46,Good,Great
47,Very Bad,Normal
48,Meltdown,Very Bad
49,Very Bad,Normal
50,Very Bad,Meltdown
51,Bad,Meltdown
52,Normal,Bad
53,Good,Very Bad
54,Normal,Normal
55,Very Bad,Very Bad
56,Very Bad,Very Bad
57,Very Bad,Very Bad
58,Bad,Very Bad
59,Bad,Normal
60,Bad,Normal
61,Bad,Meltdown
62,Meltdown,Normal
63,Very Bad,Very Bad
64,Normal,Meltdown
65,Meltdown,Very Bad
66,Very Bad,Very Bad
67,Meltdown,Very Bad
68,Normal,Normal
69,Good,Normal
70,Normal,Normal
71,Bad,Bad
72,Normal,Very Bad
73,Good,Bad
74,Good,Normal
75,Good,Normal
76,Normal,Normal
77,Normal,Normal
78,Good,Bad
79,Great,Bad
80,Great,Great
81,Great,Normal
82,Good,Normal
83,Good,Bad
84,Good,Normal
85,Good,Normal
86,Good,Normal
87,Great,Normal
88,Normal,Great
89,Great,Normal
90,Good,Normal
91,Normal,Bad
92,Normal,Very Bad
93,Normal,Normal
94,Great,Normal
95,Great,Great
96,Good,Great
97,Good,Normal
98,Good,Normal
99,Great,Great
100,Normal,Very Bad
101,Normal,Very Bad
102,Great,Normal
103,Bad,Normal
104,Normal,Normal
105,Great,Very Bad
106,Great,Great
107,Great,Great
108,Great,Great
109,Great,Great
110,Great,Great
111,Good,Normal
112,Normal,Normal
113,Good,Normal
114,Great,Great
115,Normal,Normal
116,Normal,Very Bad
117,Normal,Very Bad
118,Normal,Very Bad
119,Normal,Normal
120,Great,Great
121,Good,Normal
122,Great,Normal
123,Bad,Very Bad
124,Great,Great
125,Good,Normal
126,Normal,Normal
127,Normal,Very Bad
128,Good,Normal
129,Great,Great
130,Great,Great
131,Normal,Bad
132,Bad,Very Bad
133,Normal,Meltdown
134,Normal,Very Bad
135,Good,Great
136,Normal,Normal
137,Bad,Bad
138,Bad,Normal
139,Normal,Bad
140,Good,Normal
141,Great,Normal
142,Great,Normal
143,Great,Great
144,Good,Great
145,Great,Normal
146,Good,Bad
147,Normal,Very Bad
148,Bad,Meltdown
149,Good,Very Bad
150,Great,Great
151,Good,Very Bad
152,Good,Normal
153,Bad,Very Bad
154,Normal,Bad
155,Great,Great
156,Normal,Bad
157,Good,Normal
158,Great,Normal
159,Good,Normal
160,Very Bad,Normal
161,Normal,Great
162,Bad,Meltdown
163,Good,Normal
164,Great,Great
165,Great,Bad
166,Good,Normal
167,Normal,Bad
168,Normal,Very Bad
169,Very Bad,Bad
170,Normal,Bad
171,Very Bad,Very Bad
172,Very Bad,Very Bad
173,Bad,Very Bad
174,Very Bad,Bad
175,Normal,Meltdown
176,Bad,Very Bad
177,Very Bad,Very Bad
178,Bad,Very Bad
179,Normal,Bad
180,Bad,Normal
181,Bad,Very Bad
182,Bad,Normal
183,Normal,Very Bad
184,Normal,Very Bad
185,Good,Normal
186,Normal,Great
187,Very Bad,Normal
188,Bad,Very Bad
189,Bad,Normal
190,Good,Bad
191,Great,Normal
192,Great,Great
193,Great,Great
194,Normal,Normal
195,Very Bad,Bad
196,Normal,Very Bad
197,Great,Normal
198,Good,Great
199,Great,Great
200,Good,Very Bad
201,Great,Great
202,Good,Normal
203,Good,Normal
204,Good,Great
205,Normal,Bad
206,Great,Normal
207,Great,Great
208,Normal,Normal
209,Good,Normal
210,Normal,Bad
211,Great,Normal
212,Normal,Bad
213,Good,Very Bad
214,Great,Bad
215,Good,Normal
216,Great,Normal
217,Normal,Normal
218,Good,Very Bad
219,Great,Great
220,Great,Great
221,Very Bad,Very Bad
222,Very Bad,Meltdown
223,Good,Bad
224,Great,Great
225,Meltdown,Very Bad
226,Good,Very Bad
227,Great,Great
228,Good,Normal
229,Very Bad,Meltdown
230,Bad,Very Bad
231,Very Bad,Very Bad
232,Normal,Normal
233,Meltdown,Meltdown
234,Bad,Bad
235,Bad,Bad
236,Great,Great
237,Great,Great
238,Good,Normal
239,Good,Bad
240,Bad,Very Bad
241,Great,Great
242,Great,Normal
243,Great,Great
244,Good,Very Bad
245,Normal,Great
246,Good,Bad
247,Great,Great
248,Good,Normal
249,Normal,Very Bad
250,Very Bad,Very Bad
251,Very Bad,Very Bad
252,Bad,Very Bad
253,Good,Good
