Predicted,Actual
Great,Normal
Meltdown,Normal
Great,Great
Bad,Good
Great,Great
Great,Good
Normal,Good
Good,Good
Great,Great
Good,Great
Great,Bad
Meltdown,Normal
Great,Great
Great,Normal
Normal,Good
Good,Good
Bad,Normal
Good,Normal
Great,Good
Great,Great
Great,Great
Great,Great
Good,Normal
Great,Good
Good,Great
Great,Great
Great,Great
Bad,Good
Normal,Good
Great,Normal
Good,Great
Great,Great
Great,Great
Good,Great
Great,Great
Great,Great
Great,Great
Good,Great
Great,Good
Bad,Bad
Good,Great
Great,Great
Meltdown,Bad
Good,Good
Good,Good
Great,Great
Great,Good
Great,Good
Normal,Bad
Bad,Normal
Meltdown,Bad
Good,Great
Meltdown,Meltdown
Meltdown,Bad
Bad,Bad
Bad,Bad
Bad,Normal
Bad,Meltdown
Bad,Good
Good,Great
Great,Great
Good,Normal
Bad,Bad
Bad,Bad
Good,Normal
Great,Good
Good,Normal
Good,Bad
Meltdown,Bad
Normal,Bad
Bad,Normal
Normal,Bad
Normal,Bad
Meltdown,Bad
Great,Good
Great,Great
Good,Great
Great,Bad
Meltdown,Normal
Great,Good
Bad,Great
Great,Good
Great,Great
Great,Normal
Bad,Good
Great,Great
Great,Good
Great,Great
Normal,Great
Great,Great
Normal,Good
Normal,Bad
Great,Great
Great,Great
Great,Great
Great,Good
Great,Great
Great,Great
Normal,Good
Normal,Normal
Meltdown,Bad
Normal,Normal
Great,Great
Great,Great
Good,Great
Great,Great
Good,Good
Good,Normal
Great,Great
Great,Great
Great,Good
Good,Normal
Good,Good
Good,Good
Good,Normal
Bad,Good
Great,Good
Normal,Normal
Bad,Normal
Great,Great
Good,Good
Great,Good
Meltdown,Normal
Meltdown,Meltdown
Meltdown,Bad
Meltdown,Bad
Bad,Normal
Good,Great
Great,Good
Good,Normal
Normal,Normal
Normal,Meltdown
Bad,Normal
Meltdown,Bad
Normal,Bad
Bad,Normal
Meltdown,Normal
Good,Bad
Bad,Normal
Meltdown,Meltdown
Good,Good
Good,Normal
Normal,Good
Normal,Good
Great,Great
Good,Good
Good,Good
Meltdown,Normal
Meltdown,Bad
Good,Great
Great,Great
Meltdown,Bad
Great,Great
Great,Good
Good,Normal
Bad,Bad
Meltdown,Normal
Good,Good
Good,Good
Great,Good
Great,Normal
Bad,Normal
Normal,Great
Meltdown,Bad
Good,Good
Normal,Normal
Normal,Good
Normal,Normal
Bad,Bad
Bad,Normal
Bad,Bad
Meltdown,Normal
Bad,Bad
Meltdown,Meltdown
Meltdown,Normal
Good,Normal
Normal,Normal
Good,Bad
Good,Normal
Normal,Bad
Normal,Good
Great,Good
Good,Great
Great,Good
Meltdown,Meltdown
Meltdown,Bad
Bad,Meltdown
Great,Good
Meltdown,Meltdown
Bad,Bad
Bad,Meltdown
Bad,Meltdown
Normal,Great
Great,Good
Great,Normal
Great,Great
Normal,Bad
Meltdown,Normal
Normal,Great
Good,Normal
Normal,Normal
Normal,Bad
Good,Bad
Good,Great
Great,Great
Great,Great
Great,Good
Great,Bad
Great,Great
Great,Great
Good,Good
Good,Good
Bad,Normal
Great,Great
Great,Great
Great,Great
Good,Good
Good,Good
Great,Great
Normal,Good
Good,Normal
Normal,Normal
Great,Great
Good,Good
Bad,Meltdown
Meltdown,Normal
Normal,Normal
Normal,Good
Good,Great
Normal,Good
Good,Good
Good,Normal
Good,Good
Good,Bad
Normal,Good
Great,Great
Great,Great
Great,Normal
Good,Good
Meltdown,Normal
Great,Great
Great,Great
Great,Great
Great,Great
Great,Normal
Normal,Good
Good,Great
Great,Good
Great,Great
Great,Great
Great,Great
Great,Good
