"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","Cluster"
"3",112,444,1244,2516,4875,6906,11128,17125,22866,28601,35464,41285,49678,55521,60770,69562,76567,84266,92195,97825,101819,104124,105719,106829,"Normal"
"4",285,755,1638,5234,8563,13404,22503,28540,38161,46381,57848,67894,78595,88619,95871,109060,117379,126257,133501,139695,144102,147175,148488,148874,"Bad"
"5",896,1420,2459,5482,9445,12618,19024,23526,29776,35902,42617,48812,56195,62787,71058,79444,87911,95776,103449,110691,118434,122847,124878,126143,"Bad"
"6",189,1192,2061,3885,6543,9572,13716,16955,22175,25981,30736,36751,41946,47531,53748,58511,63786,68892,73665,77175,80372,82260,83128,83768,"Good"
"7",5,250,389,1446,2303,4291,8687,11708,16507,19923,24022,29138,34289,42381,48407,56338,67069,77513,88727,99571,106281,111986,113834,115079,"Normal"
"8",1232,1789,2169,3096,5240,8338,14960,19248,25798,30084,36226,44376,52405,59958,66977,74737,81768,89171,98217,105046,111191,115106,116649,118100,"Normal"
"9",386,472,585,1777,4291,6619,12524,18349,26991,33971,41438,48412,54578,60536,65052,71223,74894,79554,83958,87891,89504,90556,92533,92700,"Normal"
"11",90,93,159,530,1163,4135,5462,7478,10142,11939,14793,18392,22358,26384,32361,36970,42956,51322,58644,64279,67634,71527,72296,73356,"Good"
"12",545,556,720,1458,2773,4939,8425,13746,19909,26798,35902,44891,54925,65392,76269,88242,99485,111599,123719,133793,141595,146336,148152,148777,"Bad"
"14",0,0,97,259,739,2655,4299,7206,9049,10714,13769,15532,18350,20484,22925,25523,28606,32032,35959,38912,40986,42556,42931,43236,"Great"
"15",54,55,142,1035,1915,4065,8246,14624,20323,27865,34784,42223,48038,54118,61776,68809,75473,83785,91030,97807,103403,106112,107703,108801,"Normal"
"16",848,907,1108,2135,4068,6444,11440,16904,21500,26915,31916,39906,46053,51300,57081,62114,68720,73936,78712,81679,84010,84478,84604,84617,"Good"
"17",0,5,412,1817,6029,10181,18889,26820,35912,45820,56344,67590,79329,94918,106924,121252,133359,147519,157034,168246,176029,179250,180752,181605,"Meltdown"
"18",463,479,2179,3851,9646,13426,21929,26479,33481,39519,43702,49210,52421,57923,61223,66477,69313,74048,78032,81118,83834,85207,85976,86403,"Good"
"19",0,32,430,1160,2438,3974,6151,8003,9771,12855,15553,18010,20020,21998,24669,26788,28743,30583,33837,37006,39490,40845,40893,40962,"Great"
"24",0,0,94,412,906,2522,4797,7643,9950,12954,15509,18341,20876,23388,25969,28378,31828,35658,38757,41669,44050,45038,45349,45689,"Great"
"25",52,71,213,745,1265,2095,3413,4992,7531,9657,11758,14055,15811,17724,19619,21720,24405,27022,30213,31944,33453,35209,35899,36159,"Great"
"28",0,9,24,74,432,860,1943,3201,4826,6956,10775,14004,16291,20182,22645,26829,29732,33309,37141,40356,43006,44196,44552,44723,"Great"
"29",0,56,698,1007,1820,3338,5371,9437,12397,16251,19872,25400,29115,33104,37473,42055,46645,51658,55428,59368,62589,63598,63708,63866,"Good"
"30",350,375,517,1024,2387,4040,6925,10586,13964,17676,21848,26510,29910,33893,38615,42453,46567,49377,51591,53195,54655,54999,54999,55053,"Great"
"31",0,0,103,521,1063,1664,2836,3842,5922,7055,8434,11460,12497,14869,16100,18117,19845,21024,23683,25936,28226,29041,29376,29560,"Great"
"32",0,0,187,563,882,1459,3054,4377,5557,8424,10165,12327,14602,16942,19114,22059,24450,27381,31058,34188,35946,36916,37147,37252,"Great"
"33",246,246,341,938,1985,3816,6414,8725,12333,15316,19416,23350,26669,30979,34869,39730,44156,49119,54058,58434,62197,63686,64561,64897,"Good"
"34",130,151,152,432,792,1184,2166,3233,4982,6496,7915,9991,11349,13155,15091,16908,18497,19705,21656,22700,23974,24161,24399,24410,"Great"
"36",439,728,1128,2198,4498,8502,12194,17273,24461,30004,35884,43592,48916,57313,65026,71296,77770,83455,89655,94433,98052,100075,100806,101133,"Normal"
"37",102,102,165,906,1849,3070,5931,8616,11698,13833,17232,20793,24291,27762,30771,33945,37183,42196,46812,51919,55887,58102,59738,60553,"Good"
"39",76,81,263,1009,1651,3467,5652,7563,10722,12692,15146,18129,21057,25338,27388,31743,36598,42554,47521,53400,57729,58971,59652,60425,"Good"
"40",0,30,263,2585,5763,8638,14630,19152,25729,33787,39456,46919,54222,61690,69823,78486,87825,95050,101223,108367,112326,115686,116867,117889,"Normal"
"41",358,407,449,1110,2154,3497,6326,8871,13740,17061,20817,26329,29580,34108,39758,43634,47808,52434,56748,60431,63893,65099,66339,66651,"Good"
"42",0,0,117,1061,2377,4953,10123,16024,23543,31504,39796,51909,59968,72348,85170,95982,107112,116854,125065,132378,137979,140181,141651,142901,"Bad"
"43",80,83,382,1199,2445,4133,7467,10856,15535,18835,22559,26692,31195,35267,38694,42243,46904,50531,53274,56912,58841,61324,61639,61753,"Good"
"44",115,118,160,496,904,1482,2505,3358,5518,6555,8198,10918,12333,14699,16529,18597,20869,22485,24062,25615,26365,27222,27610,27610,"Great"
"49",557,933,1111,2024,3051,5549,10797,13788,18707,21753,26242,30052,33057,36240,39247,42789,45017,49537,53408,57456,59702,60714,60928,61199,"Good"
"50",0,20,186,625,1499,2743,5148,7690,11245,15540,19032,23453,27725,34178,40159,47191,52808,59940,66905,72940,80182,82291,83682,84610,"Good"
"53",549,552,645,1358,2842,4957,7771,12753,21768,31393,39064,47436,56850,65472,75541,85446,96734,106942,116521,123416,129787,135009,136579,136897,"Bad"
