"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","Cluster"
"3",459,547,802,2470,4994,6778,8973,14716,18438,25420,30276,36100,41104,45604,50060,55980,61244,66051,70953,76261,80458,82952,84537,85107,"Normal"
"4",414,778,1542,5256,8343,13842,19692,25495,31003,36977,42246,48240,55521,61874,68011,77065,83335,91078,96185,102538,106373,108575,109098,109454,"Bad"
"5",145,921,1294,3378,5058,8927,10835,15413,21114,25471,29709,34855,42499,47118,53659,59566,67231,72733,81575,87798,93660,97651,101749,102809,"Normal"
"6",299,398,615,3381,4334,8354,11228,12936,17372,20322,23942,26607,30139,33987,36746,39350,44931,49008,53516,57832,60811,62560,63952,65726,"Good"
"7",2,209,459,1049,2022,4587,8297,12377,17672,20961,23905,29327,33013,38595,44561,49454,55960,64024,70269,75712,83993,88898,92625,94723,"Normal"
"8",325,562,748,1533,3156,5060,6467,10309,14736,22192,26993,33135,39191,45583,51654,57230,63799,70073,75146,79370,82281,83282,84526,84937,"Normal"
"9",153,233,255,1069,1873,2976,5575,7344,10400,13181,15906,19070,21146,23929,27603,31211,34079,39715,42781,45604,48466,49364,51175,51336,"Good"
"11",10,10,147,321,487,1389,2854,5159,8579,11072,14578,18598,23150,27154,31323,35793,43115,48990,55595,62812,69818,74207,77653,79253,"Normal"
"12",348,348,882,2734,3669,5564,10378,15712,19980,26229,31753,41405,48506,55481,64151,73223,82712,92515,102766,114651,120528,125481,129065,130599,"Bad"
"14",439,498,507,1423,1701,2401,3958,6168,7409,9351,11713,13572,16489,18249,20097,22234,24714,27835,30936,33511,35802,36818,37566,38623,"Great"
"15",358,358,368,1497,2303,5232,9877,15817,20265,25236,30661,36088,43935,49560,56386,61917,69126,79133,86443,93042,98720,103757,105224,106143,"Normal"
"16",251,254,354,2138,3910,9096,14343,24632,32366,39161,47520,52956,61002,67758,74982,82227,88831,96799,102930,109845,113418,115233,116389,116389,"Bad"
"17",796,834,848,2121,3596,7755,11712,17268,22238,27391,32580,38000,43920,50825,57605,63887,71430,78029,84823,91299,96328,98622,99627,99825,"Normal"
"18",61,227,609,1348,3022,3823,7691,9982,12589,15294,18721,20839,24520,28636,33933,37058,40252,43865,46429,48558,49966,50491,50988,51497,"Good"
"19",4,4,4,349,612,1141,2477,3469,4503,5364,6753,8424,9915,11718,13999,15276,18755,20554,23623,26018,27170,27814,28278,28292,"Great"
"24",133,133,139,297,580,1607,3290,5213,6632,8251,9770,11729,13311,15114,17670,19790,21737,24513,26090,28057,29497,30461,31080,31249,"Great"
"25",96,96,166,479,748,1196,1659,2025,3003,4588,5646,6812,8189,10607,12343,14327,15859,17467,18297,20208,21274,21623,22099,22221,"Great"
"28",0,0,0,102,127,530,1778,2413,3468,4332,5701,7385,9026,11563,12623,14881,16537,19283,20893,22388,23893,24598,24773,24985,"Great"
"29",0,58,87,396,1575,2637,4648,5866,8259,10283,11742,13248,15301,19564,21435,23071,25204,27905,29217,30130,30953,32487,32552,32552,"Great"
"30",12,1078,1162,1738,2175,2720,3640,4553,6884,7637,9063,11580,13144,14204,15654,17653,19572,21160,22916,23928,24959,25190,25224,25224,"Great"
"31",0,0,73,126,351,737,1300,1805,2475,3193,3821,4858,5792,6252,7146,7863,8292,9291,10004,10915,11608,12423,12524,12524,"Great"
"32",0,0,0,146,307,621,1124,2769,5057,6216,8193,9903,12085,13345,15738,17770,19638,22055,25845,27172,28397,29461,29867,30001,"Great"
"33",274,490,543,869,1133,1925,4297,5877,8280,12133,14621,18019,21892,24953,28722,33804,38731,43516,48881,53264,56367,59028,59319,59460,"Good"
"34",6,6,12,184,488,855,1371,2032,2990,4398,4847,6449,7181,8413,9214,10043,10784,11612,12410,14375,14931,15212,15321,15321,"Great"
"36",1581,1596,1689,2324,3723,5377,10882,15896,23424,31460,39924,47850,54831,62667,70241,80573,88142,96442,102588,108154,113948,116670,119312,120541,"Bad"
"37",480,480,566,2179,3569,6237,8235,10860,17606,19024,22941,25857,29861,32097,34476,35990,38725,41545,43245,44938,46611,47314,47514,47516,"Great"
"39",22,106,132,715,1589,3259,5136,7986,10726,13584,15805,17973,19745,21877,24366,28391,30917,34174,37603,40373,42242,42927,43411,43418,"Great"
"40",0,57,160,2483,4381,8507,14388,20203,25531,29679,36467,42247,50422,58532,67987,78518,88360,98431,109648,116384,122812,127303,131211,132150,"Bad"
"41",0,15,18,544,1329,2707,5147,8288,12164,16354,20985,25627,31150,36216,42189,47835,53733,60053,64619,68359,70192,71887,72677,72819,"Good"
"42",160,180,307,1248,2707,4887,6637,9974,15681,19359,25895,32565,38893,45240,51653,58142,65554,72735,79594,86118,90523,92591,93349,93736,"Normal"
"43",497,1263,1296,1761,3410,4602,5911,10049,14629,17306,22924,27394,30371,33181,35377,38822,40881,43778,45981,47492,49126,49642,49936,50079,"Great"
"44",784,1055,1055,1246,1610,2762,4590,7095,9318,10598,15066,18323,21983,24824,26758,29191,31183,33196,34061,34984,36369,37865,38054,38288,"Great"
