X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
132,145,145,145,148,301,430,614,739,1098,1602,1776,2661,2850,3741,4010,4200,4611,4900,5839,6249,6519,6689,6799,Good
25,188,282,285,296,382,685,872,1020,1249,1829,2307,2668,3391,3777,3961,4592,4925,5316,5741,6169,6520,6695,6858,Good
0,153,233,233,291,424,605,785,1186,1530,1743,2280,2513,3221,3719,4144,4703,5379,5680,6331,7167,7846,8402,8911,Good
33,65,131,284,285,343,531,703,1011,1229,1813,2063,2685,2817,2980,3390,3531,3995,4441,5102,5696,5912,6028,6429,Good
13,220,220,220,232,418,468,561,862,1159,1348,2070,2669,3295,3708,4278,4516,4838,5376,6001,6402,6917,7255,7572,Good
0,1,17,17,31,322,350,638,924,1181,1500,2112,2274,2534,3408,3858,4537,4948,5316,6122,6490,7089,7907,8128,Good
15,15,15,18,22,137,322,1203,1676,1819,2248,2594,3065,3305,3822,4213,4936,5180,5567,6302,6732,7201,7539,7659,Good
124,209,209,209,270,310,459,581,959,1441,1797,2385,2828,3383,4171,4718,5702,6373,7206,8354,9558,10245,10869,11591,Normal
474,505,527,527,545,715,815,990,1303,1676,1927,2283,2595,3270,3862,4700,5059,5882,7436,8197,8964,9765,10407,10810,Good
65,337,640,647,688,753,790,874,1167,1311,1456,1676,2230,2995,3326,3884,4067,4415,4504,4737,4928,5195,5223,5248,Good
0,0,0,14,59,136,211,335,593,900,1093,1217,1498,1746,1915,2342,2465,2655,2931,3218,3477,3619,3934,4154,Good
71,98,197,214,241,331,410,655,750,864,960,1258,1459,1907,2128,2355,2439,2847,2924,3164,3352,3529,3637,3751,Good
0,12,12,12,12,107,252,434,680,759,1439,1617,1933,2262,2553,3502,3865,4244,4576,4855,5008,5381,5572,6020,Good
178,190,190,331,340,384,658,909,1091,1285,1800,1937,2426,2868,3710,3990,4390,4777,5259,5591,6380,6963,7239,7425,Good
291,337,337,337,337,392,457,656,870,1198,1643,1962,2372,2948,3160,3398,4100,4318,4670,5272,5587,5787,6044,6069,Good
202,202,202,202,275,300,375,664,834,1000,1227,1387,1584,1831,2141,2248,2524,2719,3517,3747,4158,4792,4950,5000,Good
421,422,442,456,512,526,650,739,1109,1485,1947,2586,3183,3590,3725,4662,5039,5300,5602,6317,6530,6810,6880,7021,Good
37,37,190,190,199,224,251,405,503,870,1517,1896,2321,3245,3711,4104,4697,5522,5775,6133,6177,6567,6884,7199,Good
325,325,357,357,412,486,560,855,1108,1349,1639,1937,2218,2384,2672,2945,3257,3714,4200,4986,5196,5428,5715,5863,Good
114,128,128,128,140,200,314,355,464,533,699,907,1137,1394,1512,1799,1916,2048,2523,2672,2881,3050,3118,3135,Good
0,0,0,0,10,25,80,206,427,582,696,757,1096,1190,1357,1653,1880,2130,2428,2650,2866,3132,3324,3370,Good
61,66,72,72,72,85,101,193,629,743,804,902,967,1067,1215,1626,1979,2417,2988,3430,3602,3851,4035,4144,Good
332,339,339,339,390,458,508,582,699,1159,1656,2005,2841,3141,3505,4363,4787,5687,6083,6576,6968,7460,7946,8080,Good
76,76,102,102,106,176,207,352,525,764,872,1095,1219,1550,1983,2755,4206,5237,7074,8351,9894,11010,11739,12404,Normal
10,32,32,32,56,75,141,471,710,818,1214,1473,2197,2664,3188,3514,4067,4544,5088,5502,5710,6331,6779,6996,Good
6,6,6,6,12,76,169,270,716,940,1277,1580,1886,2193,2460,2772,3108,3549,3846,4137,4520,4819,5077,5140,Good
21,21,21,21,77,102,287,381,631,746,935,1055,1261,1425,1885,1989,2275,2648,3422,3795,4756,4963,5301,5353,Good
412,499,499,499,502,568,798,1110,1471,1790,2223,2726,3218,3819,4564,5085,5603,5749,6208,6783,7031,7550,7730,7764,Good
14,14,14,14,14,39,79,228,356,485,621,735,1203,1614,1758,1893,2001,2068,2456,3404,3566,3958,4235,4372,Good
32,38,38,38,156,232,329,428,570,883,1130,1446,1695,1961,2165,2378,2798,3530,4003,4437,4627,4981,5155,5440,Good
114,132,135,135,146,168,253,346,491,715,996,1382,1879,2038,2182,2468,2830,3003,3149,3404,3565,3759,4090,4233,Good
3,3,3,3,36,77,163,317,840,931,1244,1356,1677,1736,1872,1954,2097,2189,2318,2503,2517,2708,2935,2948,Good
204,213,228,228,241,340,463,623,956,1084,1593,2170,2810,3873,5379,6341,7025,7732,8794,10164,11108,12293,13108,13813,Normal
293,741,763,766,769,841,1081,1310,1874,2369,3171,3695,4064,4968,5666,6040,6388,7228,7675,8134,8733,9029,9484,9690,Good
345,907,1046,1155,1229,1619,1952,2392,2930,3636,4432,5574,6673,7781,8652,9520,9892,10403,10877,11239,11783,12184,12576,12790,Normal
110,435,510,528,534,621,856,1079,1272,1457,1768,2176,2547,2756,2993,3294,3598,4225,4866,5728,6387,6929,7445,7684,Good
31,83,118,123,161,243,500,903,1223,1669,1984,2612,3231,3701,4295,4660,5260,5686,6023,6911,7379,7829,8459,8757,Good
38,47,53,53,119,185,367,489,780,879,1129,1557,1661,2002,2834,3581,4005,5074,5870,6388,7027,7665,8322,8805,Good
22,58,65,90,103,189,369,641,852,1174,1432,1896,2120,2455,2855,3153,3734,4285,4693,5168,5357,5611,6034,6121,Good
27,95,110,110,187,218,339,593,860,1302,1640,2000,2220,2570,2789,2937,3160,3375,3709,4383,4577,4927,5282,5788,Good
