X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
186,1109,1239,1577,3926,6142,8009,11360,14955,17439,20665,24850,28327,30864,35092,38530,40768,45371,48733,51453,54199,55371,56508,56745,Normal
0,12,198,2648,5367,9082,14739,21463,27281,33517,40636,46398,52123,57676,64087,70128,74982,80276,87061,90411,93912,94819,94944,95406,Bad
89,169,506,2045,5386,11680,15474,20675,25966,30169,36241,40995,44936,50622,55834,58959,65245,70242,74418,80172,86063,90035,92691,93880,Bad
1119,1694,1774,2181,4477,6532,10213,12883,15634,20288,23318,26313,29347,30849,33833,36784,39676,41101,43325,47251,49278,51202,52599,53467,Normal
592,592,650,930,1625,2324,3423,4398,5464,9033,11458,14157,17406,20960,24798,28831,33610,39202,44863,52504,57917,61241,65893,67053,Normal
730,811,927,5589,7822,10717,14972,20670,25829,29510,36362,40612,44973,49414,52623,57304,61491,66136,70586,73612,74964,76056,76617,77022,Normal
0,0,85,286,1200,3709,4929,7461,10156,13249,16536,20768,23878,28954,34200,39935,44867,51188,55482,61228,65057,66554,67596,67730,Normal
3,3,29,351,670,1212,2205,2772,4111,5552,7846,9444,11270,12175,13517,15229,16725,17761,18839,20100,21937,23133,23668,23830,Good
0,2,11,205,1059,3509,5822,8985,14276,19152,23997,31164,38131,44826,51241,58828,66149,73146,80931,86090,91204,93388,94598,94840,Bad
100,138,283,713,2087,5593,9748,14660,18103,23059,27759,32548,36256,41520,46958,51925,58064,62751,67204,71169,74392,76268,76886,76886,Normal
2774,3411,5014,6784,9002,14129,21842,30039,36853,42480,51922,61123,66400,71985,77873,84387,89206,94899,99986,103700,106720,107717,108379,108379,Bad
122,419,565,1973,3257,5064,7834,9075,10895,11786,13931,15213,16580,18377,21006,22341,25324,27065,29248,32156,33804,34989,36001,36260,Good
0,0,122,420,2269,2898,3619,4511,5814,9208,13264,15219,17724,21616,23192,25341,27378,28942,30316,31505,32871,33485,33627,34509,Good
55,59,74,279,625,1859,3222,4810,5802,7398,9239,11223,12781,14760,17483,19472,22945,25217,27405,28858,30455,31358,31651,31673,Good
0,0,5,38,261,1395,2722,3263,4129,4980,5860,7072,9287,10492,11926,13663,15760,18327,20719,21870,23192,23393,24045,24057,Good
0,27,58,221,673,1934,2839,5918,9066,12970,17249,21869,26889,30985,36330,40882,46189,51902,57111,61448,63198,64294,64783,65232,Normal
532,926,1398,2345,3445,7328,10610,15392,19472,24830,31280,34812,39639,42045,45275,47538,49541,51589,53105,54888,55978,56113,56171,56558,Normal
0,0,15,90,308,1161,1570,2218,3413,5921,7105,8367,10612,11679,12330,13791,14859,15273,16197,17036,18072,18964,19282,19284,Good
0,19,51,98,265,712,1426,2489,3409,4418,4896,5830,6321,7180,8457,10234,11306,12753,14402,15188,16846,17589,17862,17988,Good
0,0,253,620,1289,2728,4013,6268,8571,12133,14258,18688,22127,25529,29631,34211,39640,44689,48981,53863,57761,61816,62447,62450,Normal
31,31,34,225,1156,1484,2410,2833,3785,4341,5589,8874,10422,11641,12646,14693,15662,16849,17558,18026,18464,18827,19315,19315,Good
227,227,349,1727,2607,6611,8443,11345,13835,18729,21926,25625,29119,31156,34269,37072,41301,43506,46317,50004,52611,55323,56295,57093,Normal
600,634,643,906,1481,3508,4381,6356,8865,10751,11724,12510,14602,15454,17448,18377,20542,21958,23609,24266,24857,25300,25953,26058,Good
1627,2123,2290,3012,4347,5695,10064,13040,14832,16828,19335,20912,22155,24029,25782,27253,29493,31473,33265,35129,36433,37215,37338,37620,Good
0,0,43,293,1119,4329,6724,10883,13207,17570,23316,29099,33770,40481,46490,55476,62277,71591,79622,87660,94625,101845,104666,107051,Bad
840,867,870,1577,4230,7187,11883,14209,19152,23878,28677,31220,32732,36341,38023,40214,42246,44013,45969,47146,47597,49591,50003,50638,Normal
849,849,1641,2598,4444,7715,12059,18411,25917,31734,37140,43223,49039,52872,57555,62982,66009,67915,69542,71866,73031,73704,73720,74432,Normal
2,2,12,281,460,1287,1911,2728,4552,5812,7107,8164,8763,9774,10851,11448,12254,12947,13311,13943,14838,15061,15307,15446,Good
531,763,763,1254,3561,5571,7924,11120,11756,12517,15106,15858,17558,18930,20341,22016,22733,24276,25648,27250,27955,29483,30308,30506,Good
237,404,415,443,766,1940,3545,5138,7244,11286,18747,23480,28987,34344,41309,49671,56500,65488,73134,79431,86854,92749,97786,99544,Bad
306,491,725,813,2200,3091,5271,7340,9349,12375,17425,20101,24180,27980,33511,38540,44615,49670,54672,58899,65251,71491,72750,73099,Normal
937,1152,1208,1464,2557,5605,7789,12216,15402,19716,22892,26678,31987,37333,43628,50470,57428,63625,69805,78057,83438,88498,91073,93416,Bad
610,870,1351,1499,1745,2185,2987,4643,6915,8083,9842,11896,14500,17137,18923,21543,24270,26720,28637,31299,33110,34904,35866,36264,Good
0,0,80,342,497,3715,4869,6651,7981,10923,13171,16078,18053,21014,23131,26337,29332,32790,35743,38729,43703,45030,46290,47010,Normal
12,286,303,459,1102,2498,4766,6203,7772,10092,13065,14997,17218,19231,20853,23108,25154,27082,28745,30042,31612,32425,32881,33024,Good
52,52,53,155,431,969,2442,4197,5288,7223,8341,9512,10606,11451,12938,13953,15164,16234,17183,18484,19355,19841,19975,20053,Good
0,0,0,52,212,701,2188,2803,3626,5021,6574,7450,8662,9940,11097,12378,14038,15337,16139,18122,19234,19841,20249,20382,Good
242,1155,1475,4037,12139,16777,20717,27783,32690,35966,44219,47580,50962,54972,57701,60218,62795,65561,66867,69537,70886,71749,72020,72520,Normal
157,159,204,613,1116,2457,4000,7985,10805,15063,18585,23445,27911,35670,41971,49572,56155,62003,70884,79840,87144,91985,94753,97184,Bad
863,1125,1200,2042,3024,6763,10040,13649,18981,22699,28541,33191,38177,42332,46200,49976,54736,57909,61170,63924,66126,67697,69119,70094,Normal
122,152,262,2210,4015,7259,10569,14820,17953,23019,28477,34778,40441,47754,54557,60729,66261,73849,79747,83537,86645,89872,91160,91552,Bad
246,246,444,2684,5554,10561,13343,16369,18978,22502,26148,29694,33949,37900,41815,46365,50460,54609,59632,64102,67535,69889,70472,70663,Normal
38,41,254,1013,1800,4875,7013,9786,12206,14620,18596,21432,24437,28263,30988,34834,38340,42761,45507,47799,49553,51196,51912,52519,Normal
320,320,335,606,712,3104,4538,6227,7195,8711,10226,11491,13496,14443,16192,16731,18055,18861,20306,21490,22818,23468,23468,23921,Good
362,368,475,822,1232,2090,3516,5060,7136,8306,12384,14252,16060,18282,20249,22884,24894,26698,28186,30736,32030,34523,35648,36369,Good
31,94,158,477,1080,1889,3377,4828,6430,7975,10707,12399,15100,18289,21056,24038,27635,31454,35491,38772,42059,43756,45366,46473,Normal
369,541,651,1525,1996,4130,5106,6278,9122,10901,13143,14872,16835,19068,21183,23691,27056,29974,33042,34687,36451,37499,38573,39171,Good
