X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
5,39,72,240,349,584,830,1327,1665,2147,2761,2956,3540,3885,4749,6594,8235,9237,9915,10814,12075,12856,13079,13111,Bad
1,218,276,601,963,1564,2921,3585,4080,5427,5891,6699,7286,7762,8289,9213,9873,10534,11204,12090,12701,12991,13201,13339,Bad
0,236,308,562,909,1349,1797,1990,2426,2583,2889,3141,3441,3817,4168,4424,4758,5300,5663,6419,6749,7184,7458,7522,Normal
0,138,161,196,311,483,592,981,1249,1386,2097,2314,2653,3035,3347,3642,4677,4898,5496,5749,6014,6548,6647,6671,Normal
3,30,56,215,227,351,421,733,875,882,1091,1248,1441,1468,1832,2141,2575,2717,3279,4052,4818,5347,5532,5721,Normal
0,225,265,330,462,612,994,1113,1532,1762,1960,2346,2641,2873,3337,3808,4213,4809,5111,5647,6399,6864,6892,7077,Normal
0,0,52,52,70,220,372,591,736,965,1110,1370,1701,2075,2508,2893,3327,3640,3727,4504,5135,5527,5668,6106,Normal
0,27,36,43,49,129,160,195,232,274,402,492,572,635,843,967,1215,1430,1792,2090,2168,2203,2380,2631,Good
9,28,46,110,237,378,468,643,1000,1393,1612,2075,2238,2895,3934,4463,4908,5503,6717,7004,7571,8027,9104,9310,Normal
5,5,71,72,73,165,260,314,333,602,656,875,913,1080,1084,1478,1569,1639,1957,2069,2247,2299,2380,2492,Good
0,23,23,86,136,226,348,645,951,1150,1474,1646,1892,2127,2211,2875,3396,3676,3987,4416,4906,5203,5302,5302,Good
28,31,33,99,100,265,289,524,734,903,1127,1670,2125,2432,2631,3139,3655,3996,4355,4968,5433,5756,5936,6155,Normal
0,6,74,151,226,604,1237,1738,2130,2586,3247,3755,4358,4884,5615,6174,6488,7433,8014,8456,8952,9954,10230,10253,Normal
120,192,242,284,410,443,530,814,1016,1184,1737,1890,3067,3419,3524,3769,4005,4043,4408,4607,4751,4949,5071,5072,Good
0,0,6,131,136,178,197,242,253,305,368,389,389,478,508,543,619,731,761,829,922,959,966,966,Good
0,106,132,157,179,225,228,455,598,617,663,752,1995,2092,2096,2172,2278,2404,2560,2745,2961,3002,3070,3070,Good
0,0,9,9,18,39,62,1230,1278,1317,2360,2511,2541,2568,2605,2666,2666,2706,2725,2757,2764,2822,2844,2844,Good
0,0,90,90,90,151,151,188,251,395,446,448,507,589,796,833,942,1018,1101,1171,1172,1251,1251,1251,Good
0,10,74,87,87,304,500,607,926,1182,1685,1942,2263,3035,3430,3897,5078,5977,6504,7164,8210,9125,9440,9440,Normal
0,126,137,146,240,358,446,558,771,839,2289,2759,3430,3683,4047,4834,5173,5317,5835,6084,6303,6391,6618,6618,Normal
0,2,23,23,30,41,67,100,100,108,261,442,1392,1533,1579,1694,1845,1916,2103,2175,2281,2363,2463,2463,Good
220,220,220,246,246,332,432,520,721,740,840,964,1172,2056,2194,2204,2395,2896,2988,3067,3361,3388,3862,4293,Good
175,254,273,662,674,760,760,1053,1127,1467,2407,2629,2774,2816,3105,3201,3417,3434,3873,3921,4148,4328,4589,4630,Good
0,0,0,1,9,32,37,84,118,120,233,351,365,425,535,586,760,762,823,898,1075,1144,1201,1218,Good
9,51,369,370,388,486,684,908,1366,2878,3027,3383,3741,4222,4619,4870,5415,6036,7099,7819,8447,9073,9514,10195,Normal
4,219,484,484,586,745,829,1005,1268,1330,1357,1528,1854,1904,2045,2331,2456,2619,2750,2979,3279,3370,3384,3388,Good
660,661,671,671,704,767,824,1163,2050,2075,2120,2522,2580,2598,2643,2935,3018,3073,3173,3229,3460,3472,3558,3568,Good
190,204,210,365,376,691,1120,1765,2110,2620,3084,3979,4578,4821,5476,6612,7710,8865,9853,10695,11997,14287,15476,16286,Bad
455,643,767,818,951,1071,1125,1838,2164,2563,3080,3680,5347,5916,8098,8762,9443,10177,10855,11656,12229,13046,13331,13485,Bad
