,Marketing_Airline_Network,ACT_ARR_DATE,ACT_ARR_HOUR,ArrDelayMinutes,DepDelayMinutes,Weekday
167874,WN,2018-01-01,0,73.0,399.0,0
167875,WN,2018-01-01,1,73.0,399.0,0
167876,WN,2018-01-01,2,73.0,399.0,0
167877,WN,2018-01-01,3,73.0,399.0,0
167878,WN,2018-01-01,6,75.0,862.0,0
167879,WN,2018-01-01,7,162.0,1631.0,0
167880,WN,2018-01-01,8,647.0,3296.0,0
167881,WN,2018-01-01,9,1656.0,6530.0,0
167882,WN,2018-01-01,10,3334.0,9199.0,0
167883,WN,2018-01-01,11,5261.0,12900.0,0
167884,WN,2018-01-01,12,8236.0,16835.0,0
167885,WN,2018-01-01,13,10764.0,21835.0,0
167886,WN,2018-01-01,14,13831.0,25541.0,0
167887,WN,2018-01-01,15,18174.0,31435.0,0
167888,WN,2018-01-01,16,21498.0,38245.0,0
167889,WN,2018-01-01,17,25907.0,44363.0,0
167890,WN,2018-01-01,18,30965.0,50525.0,0
167891,WN,2018-01-01,19,37081.0,58505.0,0
167892,WN,2018-01-01,20,41973.0,66338.0,0
167893,WN,2018-01-01,21,47717.0,72554.0,0
167894,WN,2018-01-01,22,53674.0,77931.0,0
167895,WN,2018-01-01,23,58546.0,83994.0,0
167896,WN,2018-01-02,0,6521.0,6230.0,1
167897,WN,2018-01-02,1,8946.0,7854.0,1
167898,WN,2018-01-02,2,11946.0,8339.0,1
167899,WN,2018-01-02,3,13385.0,8339.0,1
167900,WN,2018-01-02,4,13476.0,8345.0,1
167901,WN,2018-01-02,5,13476.0,8438.0,1
167902,WN,2018-01-02,6,13505.0,8851.0,1
167903,WN,2018-01-02,7,13648.0,9568.0,1
167904,WN,2018-01-02,8,14157.0,10443.0,1
167905,WN,2018-01-02,9,14944.0,12330.0,1
167906,WN,2018-01-02,10,15930.0,13757.0,1
167907,WN,2018-01-02,11,17292.0,15625.0,1
167908,WN,2018-01-02,12,18442.0,17728.0,1
167909,WN,2018-01-02,13,20091.0,20236.0,1
167910,WN,2018-01-02,14,21571.0,23092.0,1
167911,WN,2018-01-02,15,24250.0,26936.0,1
167912,WN,2018-01-02,16,27123.0,29396.0,1
167913,WN,2018-01-02,17,30865.0,34179.0,1
167914,WN,2018-01-02,18,35137.0,39321.0,1
167915,WN,2018-01-02,19,38730.0,44485.0,1
167916,WN,2018-01-02,20,43414.0,49439.0,1
167917,WN,2018-01-02,21,47080.0,55965.0,1
167918,WN,2018-01-02,22,51824.0,59720.0,1
