Predicted,Actual
Good,Bad
Meltdown,Bad
Great,Great
Normal,Good
Great,Great
Great,Good
Good,Great
Good,Great
Great,Great
Great,Great
Good,Meltdown
Meltdown,Bad
Great,Great
Great,Normal
Great,Good
Great,Good
Bad,Meltdown
Bad,Normal
Normal,Good
Great,Great
Great,Great
Good,Good
Meltdown,Good
Bad,Good
Great,Great
Great,Great
Great,Great
Great,Great
Great,Great
Great,Normal
Normal,Great
Great,Great
Great,Great
Great,Great
Great,Great
Great,Great
Great,Great
Great,Great
Great,Great
Meltdown,Meltdown
Great,Great
Great,Great
Meltdown,Bad
Good,Normal
Great,Good
Great,Good
Great,Great
Great,Great
Good,Bad
Bad,Bad
Bad,Bad
Good,Good
Bad,Meltdown
Bad,Meltdown
Bad,Bad
Bad,Bad
Bad,Normal
Good,Bad
Great,Great
Normal,Good
Great,Great
Great,Normal
Good,Bad
Normal,Bad
Good,Bad
Good,Good
Great,Normal
Great,Bad
Bad,Bad
Bad,Bad
Bad,Normal
Bad,Bad
Bad,Bad
Good,Good
Great,Great
Great,Great
Great,Great
Great,Normal
Bad,Great
Great,Good
Bad,Good
Great,Normal
Meltdown,Good
Great,Normal
Good,Normal
Normal,Good
Great,Great
Great,Great
Great,Great
Good,Good
Meltdown,Normal
Bad,Bad
Great,Great
Good,Great
Great,Great
Good,Good
Great,Great
Great,Great
Normal,Good
Meltdown,Normal
Meltdown,Bad
Great,Great
Great,Great
Great,Great
Great,Great
Great,Great
Good,Great
Great,Great
Good,Great
Great,Great
Good,Good
Good,Normal
Great,Great
Great,Great
Great,Normal
Meltdown,Normal
Great,Great
Great,Good
Great,Great
Great,Great
Great,Good
Great,Great
Meltdown,Normal
Meltdown,Normal
Meltdown,Normal
Meltdown,Bad
Meltdown,Bad
Great,Great
Great,Good
Normal,Good
Good,Good
Good,Bad
Bad,Normal
Meltdown,Normal
Good,Good
Great,Good
Meltdown,Good
Good,Normal
Normal,Good
Bad,Bad
Great,Great
Great,Good
Good,Great
Great,Good
Great,Great
Great,Great
Great,Great
Normal,Bad
Meltdown,Bad
Good,Great
Great,Great
Bad,Normal
Great,Great
Great,Good
Great,Normal
Normal,Bad
Good,Good
Meltdown,Meltdown
Meltdown,Normal
Good,Normal
Great,Normal
Normal,Good
Great,Great
Bad,Bad
Good,Good
Great,Normal
Good,Good
Good,Good
Meltdown,Meltdown
Bad,Normal
Meltdown,Bad
Normal,Normal
Normal,Bad
Meltdown,Bad
Meltdown,Normal
Great,Normal
Good,Normal
Great,Bad
Great,Normal
Normal,Bad
Good,Good
Good,Good
Great,Good
Good,Great
Normal,Normal
Great,Bad
Bad,Bad
Great,Good
Good,Meltdown
Meltdown,Bad
Normal,Bad
Normal,Normal
Good,Great
Great,Great
Great,Normal
Good,Great
Good,Bad
Bad,Bad
Great,Great
Great,Good
Great,Great
Good,Good
Good,Normal
Normal,Good
Good,Good
Great,Great
Great,Great
Great,Good
Great,Good
Great,Great
Bad,Good
Bad,Bad
Meltdown,Good
Normal,Great
Great,Great
Great,Great
Good,Good
Good,Good
Great,Great
Good,Great
Great,Good
Good,Good
Great,Great
Great,Great
Bad,Bad
Bad,Normal
Bad,Normal
Bad,Good
Bad,Good
Good,Normal
Meltdown,Bad
Good,Good
Great,Good
Good,Normal
Good,Good
Great,Great
Great,Great
Normal,Normal
Good,Good
Meltdown,Good
Great,Great
Great,Great
Great,Great
Great,Great
Great,Good
Great,Normal
Bad,Good
Good,Good
Normal,Great
Great,Great
Great,Great
Good,Good
