,Marketing_Airline_Network,ACT_ARR_DATE,ACT_ARR_HOUR,ArrDelayMinutes,DepDelayMinutes,Weekday,Cluster_3,Cluster_4
167874,WN,43101,0,73,399,0,Meltdown,Bad
167875,WN,43101,1,73,399,0,Meltdown,Bad
167876,WN,43101,2,73,399,0,Meltdown,Bad
167877,WN,43101,3,73,399,0,Meltdown,Bad
167878,WN,43101,6,75,862,0,Meltdown,Bad
167879,WN,43101,7,162,1631,0,Meltdown,Bad
167880,WN,43101,8,647,3296,0,Meltdown,Bad
167881,WN,43101,9,1656,6530,0,Meltdown,Bad
167882,WN,43101,10,3334,9199,0,Meltdown,Bad
167883,WN,43101,11,5261,12900,0,Meltdown,Bad
167884,WN,43101,12,8236,16835,0,Meltdown,Bad
167885,WN,43101,13,10764,21835,0,Meltdown,Bad
167886,WN,43101,14,13831,25541,0,Meltdown,Bad
167887,WN,43101,15,18174,31435,0,Meltdown,Bad
167888,WN,43101,16,21498,38245,0,Meltdown,Bad
167889,WN,43101,17,25907,44363,0,Meltdown,Bad
167890,WN,43101,18,30965,50525,0,Meltdown,Bad
167891,WN,43101,19,37081,58505,0,Meltdown,Bad
167892,WN,43101,20,41973,66338,0,Meltdown,Bad
167893,WN,43101,21,47717,72554,0,Meltdown,Bad
167894,WN,43101,22,53674,77931,0,Meltdown,Bad
167895,WN,43101,23,58546,83994,0,Meltdown,Bad
167896,WN,43102,0,6521,6230,1,Good,Bad
167897,WN,43102,1,8946,7854,1,Good,Bad
167898,WN,43102,2,11946,8339,1,Good,Bad
167899,WN,43102,3,13385,8339,1,Good,Bad
167900,WN,43102,4,13476,8345,1,Good,Bad
167901,WN,43102,5,13476,8438,1,Good,Bad
167902,WN,43102,6,13505,8851,1,Good,Bad
167903,WN,43102,7,13648,9568,1,Good,Bad
167904,WN,43102,8,14157,10443,1,Good,Bad
167905,WN,43102,9,14944,12330,1,Good,Bad
167906,WN,43102,10,15930,13757,1,Good,Bad
167907,WN,43102,11,17292,15625,1,Good,Bad
167908,WN,43102,12,18442,17728,1,Good,Bad
167909,WN,43102,13,20091,20236,1,Good,Bad
167910,WN,43102,14,21571,23092,1,Good,Bad
167911,WN,43102,15,24250,26936,1,Good,Bad
167912,WN,43102,16,27123,29396,1,Good,Bad
167913,WN,43102,17,30865,34179,1,Good,Bad
167914,WN,43102,18,35137,39321,1,Good,Bad
167915,WN,43102,19,38730,44485,1,Good,Bad
167916,WN,43102,20,43414,49439,1,Good,Bad
167917,WN,43102,21,47080,55965,1,Good,Bad
167918,WN,43102,22,51824,59720,1,Good,Bad
167919,WN,43102,23,55796,64654,1,Good,Bad
167920,WN,43103,0,3718,3999,2,Good,Normal
167921,WN,43103,1,7153,4993,2,Good,Normal
167922,WN,43103,2,9594,5241,2,Good,Normal
167923,WN,43103,3,10393,5241,2,Good,Normal
167924,WN,43103,4,10424,5248,2,Good,Normal
167925,WN,43103,6,10453,5987,2,Good,Normal
167926,WN,43103,7,10729,5776,2,Good,Normal
167927,WN,43103,8,11454,6840,2,Good,Normal
167928,WN,43103,9,12334,8091,2,Good,Normal
167929,WN,43103,10,13636,9835,2,Good,Normal
167930,WN,43103,11,14639,11489,2,Good,Normal
167931,WN,43103,12,15869,13438,2,Good,Normal
167932,WN,43103,13,17107,15868,2,Good,Normal
167933,WN,43103,14,19147,18531,2,Good,Normal
167934,WN,43103,15,20800,22187,2,Good,Normal
167935,WN,43103,16,23052,25572,2,Good,Normal
167936,WN,43103,17,25810,30106,2,Good,Normal
167937,WN,43103,18,29043,34580,2,Good,Normal
167938,WN,43103,19,32515,39670,2,Good,Normal
167939,WN,43103,20,35392,44436,2,Good,Normal
167940,WN,43103,21,38776,48864,2,Good,Normal
167941,WN,43103,22,42419,52060,2,Good,Normal
167942,WN,43103,23,46057,55391,2,Good,Normal
167943,WN,43104,0,2362,5156,3,Good,Bad
167944,WN,43104,1,4792,5727,3,Good,Bad
167945,WN,43104,2,5243,5853,3,Good,Bad
167946,WN,43104,3,6174,5853,3,Good,Bad
167947,WN,43104,4,6271,5863,3,Good,Bad
167948,WN,43104,6,6394,4589,3,Good,Bad
167949,WN,43104,7,6625,6309,3,Good,Bad
167950,WN,43104,8,8934,8280,3,Good,Bad
167951,WN,43104,9,10644,11242,3,Good,Bad
167952,WN,43104,10,12780,13985,3,Good,Bad
167953,WN,43104,11,15841,16502,3,Good,Bad
167954,WN,43104,12,17843,19982,3,Good,Bad
167955,WN,43104,13,20687,22810,3,Good,Bad
167956,WN,43104,14,22761,26322,3,Good,Bad
167957,WN,43104,15,25497,29629,3,Good,Bad
167958,WN,43104,16,28104,33273,3,Good,Bad
167959,WN,43104,17,31422,37046,3,Good,Bad
167960,WN,43104,18,34467,40192,3,Good,Bad
167961,WN,43104,19,37695,43930,3,Good,Bad
167962,WN,43104,20,39893,47466,3,Good,Bad
167963,WN,43104,21,42697,49255,3,Good,Bad
167964,WN,43104,22,45562,51222,3,Good,Bad
167965,WN,43104,23,48375,52929,3,Good,Bad
167966,WN,43105,0,1537,417,4,Normal,Normal
167967,WN,43105,1,2840,537,4,Normal,Normal
167968,WN,43105,2,3156,552,4,Normal,Normal
167969,WN,43105,3,3311,552,4,Normal,Normal
167970,WN,43105,4,3311,552,4,Normal,Normal
167971,WN,43105,6,3443,2953,4,Normal,Normal
167972,WN,43105,7,3891,4544,4,Normal,Normal
167973,WN,43105,8,5573,5606,4,Normal,Normal
167974,WN,43105,9,6596,7311,4,Normal,Normal
167975,WN,43105,10,7929,8311,4,Normal,Normal
167976,WN,43105,11,9264,9648,4,Normal,Normal
167977,WN,43105,12,9980,11184,4,Normal,Normal
