,Marketing_Airline_Network,ACT_ARR_DATE,ACT_ARR_HOUR,ArrDelayMinutes,DepDelayMinutes,Weekday
167874,WN,2018-01-01,0,15.0,90.0,0
167875,WN,2018-01-01,1,15.0,90.0,0
167876,WN,2018-01-01,2,15.0,90.0,0
167877,WN,2018-01-01,3,15.0,90.0,0
167878,WN,2018-01-01,6,17.0,553.0,0
167879,WN,2018-01-01,7,104.0,1322.0,0
167880,WN,2018-01-01,8,554.0,2986.0,0
167881,WN,2018-01-01,9,1528.0,5961.0,0
167882,WN,2018-01-01,10,2840.0,8471.0,0
167883,WN,2018-01-01,11,4654.0,11778.0,0
167884,WN,2018-01-01,12,7340.0,15405.0,0
167885,WN,2018-01-01,13,9665.0,20184.0,0
167886,WN,2018-01-01,14,12529.0,23890.0,0
167887,WN,2018-01-01,15,16689.0,29784.0,0
167888,WN,2018-01-01,16,19976.0,36594.0,0
167889,WN,2018-01-01,17,24385.0,42712.0,0
167890,WN,2018-01-01,18,29443.0,48874.0,0
167891,WN,2018-01-01,19,35559.0,56854.0,0
167892,WN,2018-01-01,20,40451.0,64687.0,0
167893,WN,2018-01-01,21,46195.0,70903.0,0
167894,WN,2018-01-01,22,52152.0,76280.0,0
167895,WN,2018-01-01,23,57024.0,82343.0,0
167896,WN,2018-01-02,0,4999.0,4579.0,1
167897,WN,2018-01-02,1,8899.0,6203.0,1
167898,WN,2018-01-02,2,11899.0,6688.0,1
167899,WN,2018-01-02,3,13338.0,6688.0,1
167900,WN,2018-01-02,4,13429.0,6694.0,1
167901,WN,2018-01-02,5,13429.0,6787.0,1
167902,WN,2018-01-02,6,13458.0,7200.0,1
167903,WN,2018-01-02,7,13601.0,7917.0,1
167904,WN,2018-01-02,8,14038.0,8792.0,1
167905,WN,2018-01-02,9,14825.0,10679.0,1
167906,WN,2018-01-02,10,15753.0,12106.0,1
167907,WN,2018-01-02,11,17115.0,13974.0,1
167908,WN,2018-01-02,12,18265.0,16077.0,1
167909,WN,2018-01-02,13,19914.0,18585.0,1
167910,WN,2018-01-02,14,21356.0,21441.0,1
167911,WN,2018-01-02,15,24035.0,25285.0,1
167912,WN,2018-01-02,16,26855.0,29015.0,1
167913,WN,2018-01-02,17,30451.0,33627.0,1
167914,WN,2018-01-02,18,34672.0,38673.0,1
167915,WN,2018-01-02,19,37998.0,43837.0,1
167916,WN,2018-01-02,20,42682.0,48791.0,1
167917,WN,2018-01-02,21,46252.0,55115.0,1
167918,WN,2018-01-02,22,50950.0,58826.0,1
167919,WN,2018-01-02,23,54826.0,63655.0,1
167920,WN,2018-01-03,0,3559.0,3000.0,2
167921,WN,2018-01-03,1,6994.0,3994.0,2
167922,WN,2018-01-03,2,9435.0,4242.0,2
167923,WN,2018-01-03,3,10191.0,4242.0,2
167924,WN,2018-01-03,4,10222.0,4249.0,2
167925,WN,2018-01-03,6,10251.0,4988.0,2
167926,WN,2018-01-03,7,10385.0,5288.0,2
167927,WN,2018-01-03,8,10851.0,6128.0,2
167928,WN,2018-01-03,9,11652.0,7333.0,2
167929,WN,2018-01-03,10,12720.0,8852.0,2
167930,WN,2018-01-03,11,13625.0,10471.0,2
167931,WN,2018-01-03,12,14763.0,12294.0,2
167932,WN,2018-01-03,13,15922.0,14620.0,2
167933,WN,2018-01-03,14,17829.0,17239.0,2
167934,WN,2018-01-03,15,19387.0,20760.0,2
167935,WN,2018-01-03,16,21604.0,24095.0,2
167936,WN,2018-01-03,17,24230.0,28580.0,2
167937,WN,2018-01-03,18,27463.0,33054.0,2
167938,WN,2018-01-03,19,30776.0,37712.0,2
167939,WN,2018-01-03,20,33608.0,42205.0,2
167940,WN,2018-01-03,21,36841.0,46382.0,2
167941,WN,2018-01-03,22,40430.0,49313.0,2
167942,WN,2018-01-03,23,43408.0,52544.0,2
167943,WN,2018-01-04,0,2257.0,2309.0,3
167944,WN,2018-01-04,1,4529.0,2880.0,3
167945,WN,2018-01-04,2,4980.0,3006.0,3
167946,WN,2018-01-04,3,5911.0,3006.0,3
167947,WN,2018-01-04,4,6008.0,3016.0,3
167948,WN,2018-01-04,6,6044.0,3044.0,3
167949,WN,2018-01-04,7,6188.0,3763.0,3
167950,WN,2018-01-04,8,7167.0,4777.0,3
167951,WN,2018-01-04,9,8239.0,6447.0,3
167952,WN,2018-01-04,10,9400.0,8199.0,3
167953,WN,2018-01-04,11,11360.0,9872.0,3
167954,WN,2018-01-04,12,12314.0,11810.0,3
167955,WN,2018-01-04,13,14060.0,13493.0,3
167956,WN,2018-01-04,14,15168.0,15731.0,3
167957,WN,2018-01-04,15,16724.0,17777.0,3
167958,WN,2018-01-04,16,17981.0,20095.0,3
167959,WN,2018-01-04,17,19871.0,22791.0,3
167960,WN,2018-01-04,18,21628.0,25033.0,3
167961,WN,2018-01-04,19,23590.0,27441.0,3
167962,WN,2018-01-04,20,25173.0,29830.0,3
167963,WN,2018-01-04,21,26774.0,31357.0,3
167964,WN,2018-01-04,22,28871.0,32761.0,3
167965,WN,2018-01-04,23,30316.0,34156.0,3
167966,WN,2018-01-05,0,1161.0,374.0,4
167967,WN,2018-01-05,1,1998.0,494.0,4
167968,WN,2018-01-05,2,2258.0,509.0,4
167969,WN,2018-01-05,3,2413.0,509.0,4
167970,WN,2018-01-05,4,2413.0,509.0,4
167971,WN,2018-01-05,6,2458.0,1351.0,4
167972,WN,2018-01-05,7,2651.0,2101.0,4
167973,WN,2018-01-05,8,3262.0,2648.0,4
167974,WN,2018-01-05,9,3738.0,3785.0,4
167975,WN,2018-01-05,10,4406.0,4410.0,4
167976,WN,2018-01-05,11,5044.0,5542.0,4
167977,WN,2018-01-05,12,5525.0,6697.0,4
167978,WN,2018-01-05,13,6329.0,7983.0,4
167979,WN,2018-01-05,14,7108.0,9853.0,4
167980,WN,2018-01-05,15,7829.0,12500.0,4
167981,WN,2018-01-05,16,9761.0,14678.0,4
167982,WN,2018-01-05,17,11120.0,17678.0,4
167983,WN,2018-01-05,18,13007.0,20250.0,4
167984,WN,2018-01-05,19,15527.0,23191.0,4
167985,WN,2018-01-05,20,17727.0,27488.0,4
167986,WN,2018-01-05,21,19819.0,30592.0,4
167987,WN,2018-01-05,22,22476.0,32359.0,4
167988,WN,2018-01-05,23,24827.0,33961.0,4
167989,WN,2018-01-06,0,3959.0,3255.0,5
167990,WN,2018-01-06,1,3081.0,3955.0,5
167991,WN,2018-01-06,2,4266.0,4011.0,5
167992,WN,2018-01-06,3,4572.0,4011.0,5
167993,WN,2018-01-06,4,4707.0,4011.0,5
167994,WN,2018-01-06,6,4715.0,4214.0,5
167995,WN,2018-01-06,7,4864.0,2787.0,5
167996,WN,2018-01-06,8,5008.0,3152.0,5
167997,WN,2018-01-06,9,5290.0,3955.0,5
167998,WN,2018-01-06,10,5620.0,5049.0,5
167999,WN,2018-01-06,11,6130.0,5989.0,5
168000,WN,2018-01-06,12,6834.0,7362.0,5
168001,WN,2018-01-06,13,7769.0,8684.0,5
168002,WN,2018-01-06,14,8748.0,11112.0,5
168003,WN,2018-01-06,15,9790.0,12857.0,5
168004,WN,2018-01-06,16,11260.0,15361.0,5
168005,WN,2018-01-06,17,12839.0,17531.0,5
168006,WN,2018-01-06,18,14527.0,20274.0,5
168007,WN,2018-01-06,19,17082.0,23171.0,5
168008,WN,2018-01-06,20,18911.0,25651.0,5
168009,WN,2018-01-06,21,20786.0,27072.0,5
168010,WN,2018-01-06,22,22414.0,28409.0,5
168011,WN,2018-01-06,23,24360.0,28696.0,5
168012,WN,2018-01-07,0,1448.0,654.0,6
168013,WN,2018-01-07,1,1970.0,654.0,6
168014,WN,2018-01-07,2,2009.0,654.0,6
168015,WN,2018-01-07,3,2009.0,654.0,6
168016,WN,2018-01-07,5,2009.0,707.0,6
168017,WN,2018-01-07,6,2012.0,1150.0,6
168018,WN,2018-01-07,7,2033.0,1610.0,6
168019,WN,2018-01-07,8,2151.0,2132.0,6
168020,WN,2018-01-07,9,2435.0,2706.0,6
