,Marketing_Airline_Network,CRS_ARR_DATE,CRS_ARR_HOUR,ArrDelayCANCELLED,DepDelayCANCELLED,Weekday
0,AA,2018-01-01,7,1.0,17.0,0
1,AA,2018-01-01,8,11.0,29.0,0
2,AA,2018-01-01,9,16.0,44.0,0
3,AA,2018-01-01,10,37.0,68.0,0
4,AA,2018-01-01,11,50.0,83.0,0
5,AA,2018-01-01,12,72.0,94.0,0
6,AA,2018-01-01,13,81.0,112.0,0
7,AA,2018-01-01,14,101.0,123.0,0
8,AA,2018-01-01,15,114.0,138.0,0
9,AA,2018-01-01,16,127.0,146.0,0
10,AA,2018-01-01,17,136.0,160.0,0
11,AA,2018-01-01,18,148.0,172.0,0
12,AA,2018-01-01,19,161.0,185.0,0
13,AA,2018-01-01,20,168.0,192.0,0
14,AA,2018-01-01,21,182.0,204.0,0
15,AA,2018-01-01,22,194.0,215.0,0
16,AA,2018-01-01,23,209.0,220.0,0
17,AA,2018-01-02,0,7.0,7.0,1
18,AA,2018-01-02,1,10.0,12.0,1
19,AA,2018-01-02,2,19.0,12.0,1
20,AA,2018-01-02,3,20.0,12.0,1
21,AA,2018-01-02,7,28.0,33.0,1
22,AA,2018-01-02,8,38.0,37.0,1
23,AA,2018-01-02,9,42.0,45.0,1
24,AA,2018-01-02,10,50.0,49.0,1
25,AA,2018-01-02,11,56.0,62.0,1
26,AA,2018-01-02,12,67.0,67.0,1
27,AA,2018-01-02,13,74.0,80.0,1
28,AA,2018-01-02,14,85.0,87.0,1
29,AA,2018-01-02,15,93.0,96.0,1
30,AA,2018-01-02,16,98.0,109.0,1
31,AA,2018-01-02,17,107.0,121.0,1
32,AA,2018-01-02,18,120.0,129.0,1
33,AA,2018-01-02,19,130.0,144.0,1
34,AA,2018-01-02,20,146.0,148.0,1
35,AA,2018-01-02,21,152.0,158.0,1
36,AA,2018-01-02,22,165.0,161.0,1
37,AA,2018-01-02,23,171.0,166.0,1
38,AA,2018-01-03,0,4.0,166.0,2
39,AA,2018-01-03,1,5.0,1.0,2
40,AA,2018-01-03,2,6.0,1.0,2
41,AA,2018-01-03,6,9.0,17.0,2
42,AA,2018-01-03,7,20.0,28.0,2
43,AA,2018-01-03,8,31.0,46.0,2
44,AA,2018-01-03,9,39.0,60.0,2
45,AA,2018-01-03,10,61.0,76.0,2
46,AA,2018-01-03,11,68.0,91.0,2
47,AA,2018-01-03,12,90.0,106.0,2
48,AA,2018-01-03,13,102.0,120.0,2
49,AA,2018-01-03,14,118.0,128.0,2
50,AA,2018-01-03,15,133.0,141.0,2
51,AA,2018-01-03,16,136.0,160.0,2
52,AA,2018-01-03,17,154.0,180.0,2
53,AA,2018-01-03,18,165.0,209.0,2
54,AA,2018-01-03,19,191.0,246.0,2
55,AA,2018-01-03,20,216.0,265.0,2
56,AA,2018-01-03,21,245.0,276.0,2
57,AA,2018-01-03,22,269.0,294.0,2
58,AA,2018-01-03,23,291.0,296.0,2
59,AA,2018-01-04,0,9.0,5.0,3
60,AA,2018-01-04,5,15.0,26.0,3
61,AA,2018-01-04,6,27.0,91.0,3
62,AA,2018-01-04,7,70.0,157.0,3
63,AA,2018-01-04,8,108.0,250.0,3
64,AA,2018-01-04,9,159.0,310.0,3
65,AA,2018-01-04,10,254.0,397.0,3
66,AA,2018-01-04,11,298.0,489.0,3
67,AA,2018-01-04,12,396.0,556.0,3
68,AA,2018-01-04,13,463.0,674.0,3
69,AA,2018-01-04,14,574.0,743.0,3
70,AA,2018-01-04,15,641.0,854.0,3
71,AA,2018-01-04,16,741.0,917.0,3
72,AA,2018-01-04,17,837.0,1018.0,3
73,AA,2018-01-04,18,894.0,1113.0,3
74,AA,2018-01-04,19,1005.0,1175.0,3
75,AA,2018-01-04,20,1064.0,1235.0,3
76,AA,2018-01-04,21,1145.0,1257.0,3
77,AA,2018-01-04,22,1213.0,1282.0,3
78,AA,2018-01-04,23,1248.0,1286.0,3
79,AA,2018-01-05,0,27.0,5.0,4
80,AA,2018-01-05,1,30.0,7.0,4
81,AA,2018-01-05,2,31.0,8.0,4
82,AA,2018-01-05,3,32.0,8.0,4
83,AA,2018-01-05,4,33.0,8.0,4
84,AA,2018-01-05,5,39.0,26.0,4
85,AA,2018-01-05,6,53.0,81.0,4
86,AA,2018-01-05,7,87.0,127.0,4
87,AA,2018-01-05,8,118.0,184.0,4
88,AA,2018-01-05,9,149.0,218.0,4
89,AA,2018-01-05,10,206.0,250.0,4
90,AA,2018-01-05,11,236.0,283.0,4
91,AA,2018-01-05,12,281.0,315.0,4
92,AA,2018-01-05,13,313.0,343.0,4
93,AA,2018-01-05,14,352.0,360.0,4
94,AA,2018-01-05,15,372.0,384.0,4
95,AA,2018-01-05,16,403.0,404.0,4
96,AA,2018-01-05,17,424.0,426.0,4
97,AA,2018-01-05,18,443.0,443.0,4
98,AA,2018-01-05,19,469.0,461.0,4
99,AA,2018-01-05,20,481.0,477.0,4
100,AA,2018-01-05,21,506.0,485.0,4
101,AA,2018-01-05,22,519.0,491.0,4
102,AA,2018-01-05,23,530.0,492.0,4
103,AA,2018-01-06,0,5.0,492.0,5
104,AA,2018-01-06,6,10.0,17.0,5
105,AA,2018-01-06,7,22.0,33.0,5
106,AA,2018-01-06,8,30.0,49.0,5
107,AA,2018-01-06,9,36.0,63.0,5
108,AA,2018-01-06,10,60.0,79.0,5
109,AA,2018-01-06,11,71.0,89.0,5
