,Marketing_Airline_Network,Date,Hour,ACT_ARR_DATE,ACT_ARR_HOUR,ArrDelayMinutes,DepDelayMinutes,CumulativeArrDelayMinutes,CumulativeDepDelayMinutes,ArrDelay3AM,DepDelay3AM,Weekday
167878,WN,2018-01-01,2,2018-01-01,6,2.0,394.0,74.83212123804839,862.0944538041649,2.0,394.0,0
167879,WN,2018-01-01,3,2018-01-01,7,87.0,769.0,161.8321212380484,1631.0944538041651,89.0,1163.0,0
167880,WN,2018-01-01,4,2018-01-01,8,558.0,1685.0,646.580794789128,3296.4852974677806,647.0,2848.0,0
167881,WN,2018-01-01,5,2018-01-01,9,1010.0,3234.0,1656.2723754706506,6530.198064475625,1657.0,6082.0,0
167882,WN,2018-01-01,6,2018-01-01,10,1678.0,2669.0,3334.1990382938275,9199.281887740368,3335.0,8751.0,0
167883,WN,2018-01-01,7,2018-01-01,11,1926.0,3701.0,5260.697577566524,12900.145634446291,5261.0,12452.0,0
167884,WN,2018-01-01,8,2018-01-01,12,2975.0,3935.0,8236.041194357624,16835.216289882614,8236.0,16387.0,0
167885,WN,2018-01-01,9,2018-01-01,13,2528.0,5000.0,10763.92622686443,21835.34650738929,10764.0,21387.0,0
167886,WN,2018-01-01,10,2018-01-01,14,3067.0,3706.0,13830.941224975451,25541.34650738929,13831.0,25093.0,0
167887,WN,2018-01-01,11,2018-01-01,15,4343.0,5894.0,18173.598866558503,31435.34650738929,18174.0,30987.0,0
167888,WN,2018-01-01,12,2018-01-01,16,3324.0,6810.0,21497.914684324933,38245.346507389295,21498.0,37797.0,0
167889,WN,2018-01-01,13,2018-01-01,17,4409.0,6118.0,25906.914684324933,44363.346507389295,25907.0,43915.0,0
167890,WN,2018-01-01,14,2018-01-01,18,5058.0,6162.0,30964.914684324933,50525.346507389295,30965.0,50077.0,0
167891,WN,2018-01-01,15,2018-01-01,19,6116.0,7980.0,37080.91468432493,58505.346507389295,37081.0,58057.0,0
167892,WN,2018-01-01,16,2018-01-01,20,4892.0,7833.0,41972.91468432493,66338.34650738929,41973.0,65890.0,0
167893,WN,2018-01-01,17,2018-01-01,21,5744.0,6216.0,47716.91468432493,72554.34650738929,47717.0,72106.0,0
167894,WN,2018-01-01,18,2018-01-01,22,5957.0,5377.0,53673.91468432493,77931.34650738929,53674.0,77483.0,0
167895,WN,2018-01-01,19,2018-01-01,23,4872.0,6063.0,58545.914684324925,83994.34650738929,58546.0,83546.0,0
167896,WN,2018-01-01,20,2018-01-02,0,4429.0,3964.0,6520.91468432493,6230.346507389293,62975.0,87510.0,1
167897,WN,2018-01-01,21,2018-01-02,1,4517.0,1624.0,8946.484714734597,7854.346507389293,67492.0,89134.0,1
167898,WN,2018-01-01,22,2018-01-02,2,3000.0,485.0,11946.484714734597,8339.346507389293,70492.0,89619.0,1
167899,WN,2018-01-01,23,2018-01-02,3,1439.0,0.0,13385.484714734597,8339.346507389293,71931.0,89619.0,1
167900,WN,2018-01-02,0,2018-01-02,4,91.0,6.0,13476.484714734597,8345.346507389293,91.0,6.0,1
167901,WN,2018-01-02,1,2018-01-02,5,0.0,93.0,13476.484714734597,8438.346507389293,91.0,99.0,1
167902,WN,2018-01-02,2,2018-01-02,6,29.0,413.0,13505.484714734597,8851.346507389293,120.0,512.0,1
167903,WN,2018-01-02,3,2018-01-02,7,143.0,717.0,13648.484714734597,9568.346507389291,263.0,1229.0,1
167904,WN,2018-01-02,4,2018-01-02,8,509.0,875.0,14157.084416560909,10443.346507389291,772.0,2104.0,1
167905,WN,2018-01-02,5,2018-01-02,9,787.0,1887.0,14944.084416560909,12330.346507389291,1559.0,3991.0,1
167906,WN,2018-01-02,6,2018-01-02,10,986.0,1427.0,15929.91653779896,13757.346507389291,2545.0,5418.0,1
167907,WN,2018-01-02,7,2018-01-02,11,1362.0,1868.0,17291.91653779896,15625.346507389291,3907.0,7286.0,1
167908,WN,2018-01-02,8,2018-01-02,12,1150.0,2103.0,18441.91653779896,17728.3465073893,5057.0,9389.0,1
167909,WN,2018-01-02,9,2018-01-02,13,1649.0,2508.0,20090.91653779896,20236.34650738929,6706.0,11897.0,1
167910,WN,2018-01-02,10,2018-01-02,14,1480.0,2856.0,21571.217349307626,23092.34650738929,8186.0,14753.0,1
167911,WN,2018-01-02,11,2018-01-02,15,2679.0,3844.0,24250.217349307622,26936.34650738929,10865.0,18597.0,1
167912,WN,2018-01-02,12,2018-01-02,16,2873.0,4341.0,27123.064280715567,29396.08238387997,13738.0,22938.0,1
167913,WN,2018-01-02,13,2018-01-02,17,3742.0,4783.0,30864.72959609233,34179.166171127246,17480.0,27721.0,1
167914,WN,2018-01-02,14,2018-01-02,18,4272.0,5142.0,35136.64501281334,39321.41532624733,21752.0,32863.0,1
167915,WN,2018-01-02,15,2018-01-02,19,3593.0,5164.0,38729.535347126315,44485.41532624733,25345.0,38027.0,1
167916,WN,2018-01-02,16,2018-01-02,20,4684.0,4954.0,43413.535347126315,49439.41532624733,30029.0,42981.0,1
167917,WN,2018-01-02,17,2018-01-02,21,3666.0,6400.0,47079.78450224642,55965.3583441833,33695.0,49381.0,1
167918,WN,2018-01-02,18,2018-01-02,22,4744.0,3754.0,51824.096304431776,59719.76056789545,38439.0,53135.0,1
167919,WN,2018-01-02,19,2018-01-02,23,3972.0,4935.0,55796.34545955186,64654.45443071134,42411.0,58070.0,1
167920,WN,2018-01-02,20,2018-01-03,0,3718.0,2685.0,3717.540794223826,3999.4544307113374,46129.0,60755.0,2
167921,WN,2018-01-02,21,2018-01-03,1,3435.0,994.0,7152.540794223827,4993.454430711337,49564.0,61749.0,2
167922,WN,2018-01-02,22,2018-01-03,2,2441.0,248.0,9593.540794223829,5241.454430711337,52005.0,61997.0,2
167923,WN,2018-01-02,23,2018-01-03,3,799.0,0.0,10392.679220018936,5241.454430711337,52804.0,61997.0,2
167924,WN,2018-01-03,0,2018-01-03,4,31.0,7.0,10423.679220018936,5248.454430711337,31.0,7.0,2
167925,WN,2018-01-03,2,2018-01-03,6,29.0,659.0,10452.679220018936,5987.4544307113365,60.0,666.0,2
167926,WN,2018-01-03,3,2018-01-03,7,276.0,508.0,10729.062814201789,5776.2215730549915,336.0,1174.0,2
167927,WN,2018-01-03,4,2018-01-03,8,725.0,1063.0,11454.360143566671,6839.6369486245385,1061.0,2237.0,2
167928,WN,2018-01-03,5,2018-01-03,9,880.0,1251.0,12334.469683475114,8090.948750809907,1941.0,3488.0,2
167929,WN,2018-01-03,6,2018-01-03,10,1302.0,1744.0,13636.489545033734,9834.71851374881,3243.0,5232.0,2
167930,WN,2018-01-03,7,2018-01-03,11,1002.0,1655.0,14638.573441919329,11489.410094430334,4245.0,6887.0,2
167931,WN,2018-01-03,8,2018-01-03,12,1230.0,1948.0,15868.567727291116,13437.515353363297,5475.0,8835.0,2
167932,WN,2018-01-03,9,2018-01-03,13,1238.0,2430.0,17106.661531684786,15867.586335347807,6713.0,11265.0,2
167933,WN,2018-01-03,10,2018-01-03,14,2040.0,2664.0,19146.964359952883,18531.358681944086,8753.0,13929.0,2
167934,WN,2018-01-03,11,2018-01-03,15,1653.0,3655.0,20799.598664659243,22186.717463360448,10406.0,17584.0,2
167935,WN,2018-01-03,12,2018-01-03,16,2253.0,3385.0,23052.290245340766,25571.57942147053,12659.0,20969.0,2
167936,WN,2018-01-03,13,2018-01-03,17,2758.0,4535.0,25809.855238671666,30106.441379580614,15417.0,25504.0,2
167937,WN,2018-01-03,14,2018-01-03,18,3233.0,4474.0,29042.855238671666,34580.44137958062,18650.0,29978.0,2
167938,WN,2018-01-03,15,2018-01-03,19,3472.0,4902.0,32514.735673133815,39670.213882319775,22122.0,34880.0,2
167939,WN,2018-01-03,16,2018-01-03,20,2877.0,4766.0,35391.508019730085,44436.19218702392,24999.0,39646.0,2
167940,WN,2018-01-03,17,2018-01-03,21,3385.0,4428.0,38776.316319532234,48864.34734532484,28384.0,44074.0,2
167941,WN,2018-01-03,18,2018-01-03,22,3643.0,3196.0,42419.26745987563,52060.266139232685,32027.0,47270.0,2
167942,WN,2018-01-03,19,2018-01-03,23,3638.0,3331.0,46056.78878272535,55390.90070778453,35665.0,50601.0,2
167943,WN,2018-01-03,20,2018-01-04,0,2362.0,1409.0,2362.0197960144114,5155.900707784533,38027.0,52010.0,3
167944,WN,2018-01-03,21,2018-01-04,1,2430.0,571.0,4792.020747131803,5726.900707784533,40457.0,52581.0,3
167945,WN,2018-01-03,22,2018-01-04,2,451.0,126.0,5243.020747131803,5852.900707784533,40908.0,52707.0,3
167946,WN,2018-01-03,23,2018-01-04,3,931.0,0.0,6174.020747131803,5852.900707784533,41839.0,52707.0,3
167947,WN,2018-01-04,0,2018-01-04,4,97.0,10.0,6271.020747131803,5862.900707784533,97.0,10.0,3
167948,WN,2018-01-04,2,2018-01-04,6,123.0,1655.0,6393.825194556095,4589.233349324332,220.0,1665.0,3
167949,WN,2018-01-04,3,2018-01-04,7,231.0,1719.0,6624.629641980388,6308.5566473294775,451.0,3384.0,3
167950,WN,2018-01-04,4,2018-01-04,8,2310.0,1972.0,8934.329842483134,8280.340637154171,2761.0,5356.0,3
167951,WN,2018-01-04,5,2018-01-04,9,1710.0,2961.0,10644.332215112352,11241.48802551532,4471.0,8317.0,3
167952,WN,2018-01-04,6,2018-01-04,10,2135.0,2744.0,12779.81846779544,13985.049830662534,6606.0,11061.0,3
167953,WN,2018-01-04,7,2018-01-04,11,3061.0,2516.0,15840.913492722066,16501.455608466553,9667.0,13577.0,3
167954,WN,2018-01-04,8,2018-01-04,12,2002.0,3480.0,17842.752319865365,19981.775587844342,11669.0,17057.0,3
167955,WN,2018-01-04,9,2018-01-04,13,2844.0,2829.0,20687.19868512449,22810.331583730353,14513.0,19886.0,3
167956,WN,2018-01-04,10,2018-01-04,14,2074.0,3511.0,22760.978337562585,26321.48898509909,16587.0,23397.0,3
167957,WN,2018-01-04,11,2018-01-04,15,2736.0,3308.0,25497.004811107334,29629.156851690284,19323.0,26705.0,3
167958,WN,2018-01-04,12,2018-01-04,16,2607.0,3644.0,28103.93186153761,33273.384929642336,21930.0,30349.0,3
167959,WN,2018-01-04,13,2018-01-04,17,3318.0,3772.0,31421.763412380104,37045.79940850705,25248.0,34121.0,3
167960,WN,2018-01-04,14,2018-01-04,18,3045.0,3146.0,34466.78429122112,40191.49834731931,28293.0,37267.0,3
167961,WN,2018-01-04,15,2018-01-04,19,3228.0,3739.0,37694.53937439692,43930.02880714587,31521.0,41006.0,3
167962,WN,2018-01-04,16,2018-01-04,20,2198.0,3536.0,39892.68145673524,47466.44331959711,33719.0,44542.0,3
167963,WN,2018-01-04,17,2018-01-04,21,2804.0,1788.0,42696.91394189376,49254.81401307936,36523.0,46330.0,3
167964,WN,2018-01-04,18,2018-01-04,22,2865.0,1968.0,45561.83418461234,51222.31498710206,39388.0,48298.0,3
167965,WN,2018-01-04,19,2018-01-04,23,2813.0,1707.0,48374.8785661782,52929.31312922088,42201.0,50005.0,3
167966,WN,2018-01-04,20,2018-01-05,0,1537.0,417.0,1536.7497521469209,417.1384257951085,43738.0,50422.0,4
167967,WN,2018-01-04,21,2018-01-05,1,1304.0,120.0,2840.308752741786,537.1384257951083,45042.0,50542.0,4
167968,WN,2018-01-04,22,2018-01-05,2,316.0,15.0,3155.989437632144,552.1384257951083,45358.0,50557.0,4
167969,WN,2018-01-04,23,2018-01-05,3,155.0,0.0,3310.989437632144,552.1384257951083,45513.0,50557.0,4
167970,WN,2018-01-05,0,2018-01-05,4,0.0,0.0,3310.989437632144,552.1384257951083,0.0,0.0,4
167971,WN,2018-01-05,2,2018-01-05,6,132.0,1397.0,3442.793885056437,2953.3579437758917,132.0,1397.0,4
167972,WN,2018-01-05,3,2018-01-05,7,449.0,1591.0,3891.490944267731,4544.529293962159,581.0,2988.0,4
167973,WN,2018-01-05,4,2018-01-05,8,1681.0,1062.0,5572.668310148493,5606.398659563782,2262.0,4050.0,4
167974,WN,2018-01-05,5,2018-01-05,9,1024.0,1704.0,6596.3568800290905,7310.585398746667,3286.0,5754.0,4
167975,WN,2018-01-05,6,2018-01-05,10,1333.0,1001.0,7928.892136161282,8311.182388054625,4619.0,6755.0,4
167976,WN,2018-01-05,7,2018-01-05,11,1336.0,1337.0,9264.417306854157,9648.392547707017,5955.0,8092.0,4
167977,WN,2018-01-05,8,2018-01-05,12,716.0,1535.0,9980.422590212587,11183.826317842671,6671.0,9627.0,4
167978,WN,2018-01-05,9,2018-01-05,13,1164.0,1438.0,11144.76873401199,12621.38201456178,7835.0,11065.0,4
167979,WN,2018-01-05,10,2018-01-05,14,1086.0,2060.0,12230.679642501203,14681.777294793585,8921.0,13125.0,4
